ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sodium,SaturatedFat,Cholesterol,Sugar,Calcium,Iron,Potassium,VitaminC,VitaminE,VitaminD
40,Shawarma dajaj,250.0,15.0,15.0,5.0,58.6,3.0,60.0,0.5,2.4,1.1,29.7,2.2,1.4,1.6
41,Shawarma lahma,250.0,15.0,15.0,5.0,67.3,6.0,70.0,0.5,1.6,2.6,17.5,0.9,0.7,1.5
42,Yakhnat Fassoulia,150.0,3.0,8.0,15.0,66.3,1.0,0.0,3.0,1.1,22.6,8.1,1.0,1.0,0.9
43,Baklava mixed,474.0,1.1,64.0,27.3,23.0,8.0,20.0,35.0,5.3,3.0,6.2,0.0,0.0,0.0
44,Baklava mixed light,478.0,1.0,61.9,28.7,0.0,8.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Barazik,553.0,1.3,49.0,42.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Boundoukia,465.0,1.5,64.1,23.2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Daoukia,347.0,0.7,52.8,15.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Foustoukia,446.0,1.8,59.7,18.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Ghourayba,510.0,0.4,62.9,32.9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Halawa,538.0,1.7,45.7,41.0,0.0,5.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Halawa light,531.0,1.4,57.5,35.6,0.0,5.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Halawat El jiben,248.0,1.3,36.7,8.8,0.0,5.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Ish el bulbul,478.0,1.0,65.8,26.2,10.0,1.0,0.0,1.0,8.4,0.1,3.0,0.0,0.0,0.0
54,Kallaj kashta,215.0,0.8,33.0,9.7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Karabij joz maa crema,391.0,0.6,61.1,16.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Katayef Kashta,260.0,0.8,40.5,10.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Kounafa kashta bil kaak,262.0,0.9,42.2,8.7,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Kounafa bil jiben,279.0,0.6,40.4,13.2,0.0,12.0,45.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Maakroun wa moushabak,448.0,0.2,77.1,17.9,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Maamoul tamer,410.0,1.0,68.4,15.6,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Maamoul mad kashta,283.0,0.9,49.6,8.9,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Maamoul mad joz,443.0,0.8,58.8,25.0,25.0,8.0,25.0,35.0,5.3,4.0,6.2,0.0,0.0,0.0
63,Maamoul fostok,444.0,0.8,53.3,26.9,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Maamoul joz,433.0,0.6,66.2,18.3,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Madlouka,328.0,1.1,51.1,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Mafrouka kashta,425.0,0.8,71.1,17.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Moufattaka,332.0,0.7,59.2,10.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Mouhallabiya,203.0,1.1,31.6,7.3,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Moushabak,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Nammoura,376.0,0.4,75.4,8.8,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Osmaliya,271.0,1.3,27.0,17.9,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Riz bil halib,204.0,1.3,32.7,6.5,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Saniora,490.0,1.0,68.7,26.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Sfouf,401.0,0.7,55.2,22.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Shaaybiyat,298.0,0.5,39.1,14.7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Ward el sham,254.0,1.2,34.4,11.9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Znoud El sitt,307.0,0.3,41.0,17.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Baklava mixed Light,478.0,1.0,61.9,28.7,0.0,8.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Halawa Light,531.0,1.4,57.5,35.6,0.0,5.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Halawat El Jiben,248.0,1.3,36.7,8.8,0.0,5.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Katayef kashta,260.0,0.8,40.5,10.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Znoud El Sitt,307.0,0.3,41.0,17.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Coffee,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Mixed Nuts,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Biscuits Chocolate,350.0,3.0,8.0,15.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Biscuits Digestive,350.0,3.0,8.0,15.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Breakfast Cereals,350.0,3.0,8.0,15.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Butter,250.0,3.0,8.0,15.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Butter Light,250.0,3.0,8.0,15.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Chocolate Wafers,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Chocolate wafers-,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Chocolate with milk,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Chocolate-Dark,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Chocolate-White,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Corn Oil,250.0,3.0,8.0,15.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Cream Filled Biscuits,350.0,3.0,8.0,15.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Hot Chocolate Powder,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Instant Coffee (3 in 1),250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Chips Baked,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Lays Chips Cheese,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Olive Oil,250.0,3.0,8.0,15.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Potato Chips,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Potato Chips Light,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Sunflower Oil,250.0,3.0,8.0,15.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Tahina,250.0,3.0,8.0,15.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Tuna Packed in Oil,250.0,15.0,15.0,5.0,0.0,4.5,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Tuna Packed in Water,250.0,15.0,15.0,5.0,0.0,4.5,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
108,"GUAVAS,COMMON,RAW",68.0,2.55,0.95,14.32,2.0,0.272,0.0,8.92,18.0,0.26,417.0,228.3,0.73,0.0
109,"GUAVA SAUCE,COOKED",36.0,0.32,0.14,9.48,4.0,0.04,0.0,5.88,7.0,0.18,225.0,146.4,0.55,0.0
110,"LEMON PEEL,RAW",47.0,1.5,0.3,16.0,6.0,0.039,0.0,4.17,134.0,0.8,160.0,129.0,0.25,0.0
111,"LITCHIS,DRIED",277.0,3.8,1.2,70.7,3.0,0.27,0.0,66.1,33.0,1.7,1110.0,183.0,0.31,0.0
112,"CHEESE,GRUYERE",413.0,29.81,32.34,0.36,336.0,18.913,110.0,0.36,1011.0,0.17,81.0,0.0,0.28,0.6
113,"CHEESE,PARMESAN,GRATED",431.0,38.46,28.61,4.06,1529.0,17.301,88.0,0.9,1109.0,0.9,125.0,0.0,0.25,0.5
114,"CHEESE,PARMESAN,HARD",392.0,35.75,25.83,3.22,1602.0,16.41,68.0,0.8,1184.0,0.82,92.0,0.0,0.22,0.5
115,"CHEESE,ROMANO",387.0,31.8,26.94,3.63,1200.0,17.115,104.0,0.73,1064.0,0.77,86.0,0.0,0.23,0.5
116,"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D",371.0,18.13,31.79,3.7,1671.0,18.057,100.0,2.26,1045.0,0.63,132.0,0.0,0.8,7.5
117,"FRUIT-FLAVORED DRK,DRY PDR,LO CAL,W/ HI VIT C",200.0,0.0,0.0,88.79,0.0,0.0,0.0,0.0,800.0,0.0,1.0,2400.0,0.68,0.0
118,"ORANGE JUC,FRZ CONC,UNSWTND,UNDIL",159.0,2.39,0.21,38.17,3.0,0.024,0.0,37.37,32.0,0.35,674.0,137.9,0.71,0.0
119,"ORANGE PEEL,RAW",97.0,1.5,0.2,25.0,3.0,0.024,0.0,,161.0,0.8,212.0,136.0,0.25,
120,"CARP,RAW",127.0,17.83,5.6,0.0,49.0,1.083,66.0,0.0,41.0,1.24,333.0,1.6,0.63,24.7
121,"CATFISH,CHANNEL,WILD,RAW",95.0,16.38,2.82,0.0,43.0,0.722,58.0,,14.0,0.3,358.0,0.7,,12.5
122,"CISCO,SMOKED",177.0,16.36,11.9,0.0,481.0,1.741,32.0,0.0,26.0,0.49,293.0,0.0,0.22,13.3
123,"COD,ATLANTIC,DRIED&SALTED",290.0,62.82,2.37,0.0,7027.0,0.462,152.0,0.0,160.0,2.5,1458.0,3.5,2.84,4.0
124,"EEL,MIXED SPECIES,RAW",184.0,18.44,11.66,0.0,51.0,2.358,126.0,0.0,20.0,0.5,272.0,1.8,4.0,23.3
125,"MILK,DRY,WHL,W/ ADDED VITAMIN D",496.0,26.32,26.71,38.42,371.0,16.742,97.0,38.42,912.0,0.47,1330.0,8.6,0.58,10.5
126,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",362.0,36.16,0.77,51.98,535.0,0.499,20.0,51.98,1257.0,0.32,1794.0,6.8,0.0,0.0
127,"HALIBUT,GREENLAND,RAW",186.0,14.37,13.84,0.0,80.0,2.419,46.0,0.0,3.0,0.66,268.0,0.0,0.73,27.4
128,"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",358.0,35.1,0.72,52.19,549.0,0.467,18.0,52.19,1231.0,0.31,1705.0,5.6,0.01,11.0
129,"MILK,BUTTERMILK,DRIED",387.0,34.3,5.78,49.0,517.0,3.598,69.0,49.0,1184.0,0.3,1592.0,5.7,0.1,0.5
130,"MACKEREL,ATLANTIC,RAW",205.0,18.6,13.89,0.0,90.0,3.257,70.0,0.0,12.0,1.63,314.0,0.4,1.52,16.1
131,"MACKEREL,PACIFIC&JACK,MXD SP,RAW",158.0,20.07,7.89,0.0,86.0,2.247,47.0,0.0,23.0,1.16,406.0,2.0,1.0,9.1
132,"WHEY,ACID,DRIED",339.0,11.73,0.54,73.45,968.0,0.342,3.0,73.45,2054.0,1.24,2289.0,0.9,0.0,0.0
133,"WHEY,SWEET,DRIED",353.0,12.93,1.07,74.46,1079.0,0.684,6.0,74.46,796.0,0.88,2080.0,1.5,0.02,0.0
134,"POMPANO,FLORIDA,RAW",164.0,18.48,9.47,0.0,65.0,3.509,50.0,0.0,22.0,0.6,381.0,0.0,0.18,11.0
135,"ROE,MIXED SPECIES,RAW",143.0,22.32,6.42,1.5,91.0,1.456,374.0,0.0,22.0,0.6,221.0,16.0,7.0,12.1
136,"EGG,WHOLE,DRIED",594.0,47.35,40.95,4.95,523.0,12.727,1507.0,3.08,231.0,6.79,493.0,0.0,3.88,8.0
137,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",615.0,48.17,43.95,2.38,548.0,13.198,2017.0,,222.0,8.28,515.0,0.0,,
138,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",351.0,76.92,0.04,4.17,1156.0,0.0,0.0,4.17,83.0,0.23,1042.0,0.0,0.0,
139,"EGG,WHITE,DRIED,PDR,GLUCOSE RED",376.0,82.4,0.04,4.47,1238.0,0.0,0.0,4.47,89.0,0.24,1116.0,0.0,0.0,0.0
140,"SALMON,CHINOOK,SMOKED",117.0,18.28,4.32,0.0,784.0,0.929,23.0,0.0,11.0,0.85,175.0,0.0,1.35,17.1
141,"EGG,YOLK,DRIED",666.0,34.25,55.8,3.6,135.0,17.154,2052.0,3.6,284.0,5.42,244.0,0.0,5.42,11.4
142,"FISH,SALMON,CHUM,CND,DRND SOL W/ BONE",141.0,21.43,5.5,0.0,487.0,1.486,39.0,0.0,249.0,0.7,300.0,0.0,1.6,9.6
143,"SALMON,COHO,WILD,RAW",146.0,21.62,5.93,0.0,46.0,1.26,45.0,0.0,36.0,0.56,423.0,1.0,0.73,9.0
144,"SALMON,PINK,RAW",127.0,20.5,4.4,0.0,75.0,0.81,46.0,0.0,7.0,0.38,366.0,0.0,0.4,10.9
145,"EGG SUBSTITUTE,POWDER",444.0,55.5,13.0,21.8,800.0,3.766,572.0,21.8,326.0,3.16,744.0,0.8,1.26,0.0
146,"FISH,SALMON,PINK,CND,TOTAL CAN CONTENTS",129.0,19.68,4.97,0.0,403.0,0.862,55.0,0.0,215.0,0.64,344.0,0.0,0.64,13.7
147,"SALMON,SOCKEYE,CKD,DRY HEAT",169.0,25.4,6.69,0.0,134.0,0.909,63.0,0.0,12.0,0.5,408.0,0.0,1.14,13.1
148,"FISH,SALMON,SOCKEYE,CND,DRND SOL",167.0,23.59,7.39,0.0,408.0,1.44,79.0,0.0,232.0,0.65,314.0,0.0,2.07,21.0
149,"CHEESE,PARMESAN,SHREDDED",415.0,37.86,27.34,3.41,1696.0,17.37,72.0,0.9,1253.0,0.87,97.0,0.0,0.25,0.5
150,"SALMON,SOCKEYE,RAW",142.0,21.31,5.61,0.0,112.0,1.182,53.0,0.0,10.0,0.42,343.0,0.0,0.95,11.0
151,"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",362.0,36.16,0.77,51.98,535.0,0.499,20.0,51.98,1257.0,0.32,1794.0,6.8,0.0,11.0
152,"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",358.0,35.1,0.72,52.19,549.0,0.47,18.0,52.19,1231.0,0.31,1705.0,5.6,0.01,0.0
153,"SNAPPER,MIXED SPECIES,RAW",100.0,20.51,1.34,0.0,64.0,0.285,37.0,0.0,32.0,0.18,417.0,1.6,0.96,10.2
154,"STURGEON,MXD SP,RAW",105.0,16.14,4.04,0.0,54.0,0.915,60.0,0.0,13.0,0.7,284.0,0.0,0.5,10.3
155,"STURGEON,MXD SP,CKD,DRY HEAT",135.0,20.7,5.18,0.0,69.0,1.173,77.0,0.0,17.0,0.9,364.0,0.0,0.63,12.9
156,"EGG,WHITE,DRIED",382.0,81.1,0.0,7.8,1280.0,0.0,0.0,5.4,62.0,0.15,1125.0,0.0,0.0,
157,"STURGEON,MXD SP,SMOKED",173.0,31.2,4.4,0.0,739.0,1.037,80.0,0.0,17.0,0.93,379.0,0.0,0.5,16.1
158,"SWORDFISH,RAW",144.0,19.66,6.65,0.0,81.0,1.602,66.0,0.0,5.0,0.38,418.0,0.0,2.02,13.9
159,"SWORDFISH,COOKED,DRY HEAT",172.0,23.45,7.93,0.0,97.0,1.911,78.0,0.0,6.0,0.45,499.0,0.0,2.41,16.6
160,"PARMESAN CHS TOPPING,FAT FREE",370.0,40.0,5.0,40.0,1150.0,3.11,20.0,1.5,800.0,5.0,600.0,0.0,0.04,0.0
161,"WHITEFISH,MXD SP,RAW",134.0,19.09,5.86,0.0,51.0,0.906,60.0,0.0,26.0,0.37,317.0,0.0,0.2,12.0
162,"WHITEFISH,MXD SP,SMOKED",108.0,23.4,0.93,0.0,1019.0,0.228,33.0,0.0,18.0,0.5,423.0,0.0,0.21,12.8
163,"CHEESE,PARMESAN,DRY GRATED,RED FAT",265.0,20.0,20.0,1.37,1529.0,13.317,88.0,0.0,1109.0,0.9,125.0,0.0,0.17,0.4
164,"CHEESE,MEXICAN,BLEND,RED FAT",282.0,24.69,19.4,3.41,776.0,11.58,62.0,0.56,1146.0,0.13,93.0,0.0,0.17,0.4
165,"EGG MIX,USDA CMDTY",555.0,35.6,34.5,23.97,576.0,10.305,975.0,2.46,171.0,3.23,373.0,,2.04,7.4
166,"PROTEIN SUPP,MILK BSD,MUSCLE MILK,PDR",411.0,45.71,17.14,18.5,329.0,1.553,21.0,5.71,500.0,8.57,1129.0,30.0,7.07,5.0
167,"PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR",396.0,50.0,12.0,22.0,250.0,1.087,10.0,4.0,1200.0,12.0,840.0,42.0,9.45,7.0
168,"CHEESE PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT",310.0,18.18,22.63,8.52,1272.0,13.291,79.0,6.57,1433.0,0.96,273.0,0.0,0.77,7.0
169,"CHEESE,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D",371.0,18.13,31.79,3.7,1671.0,18.057,100.0,2.26,1045.0,0.63,132.0,0.0,0.8,0.6
170,"WHELK,UNSPEC,CKD,MOIST HEAT",275.0,47.68,0.8,15.52,412.0,0.062,130.0,,113.0,10.06,694.0,6.8,,
171,ANISE SEED,337.0,17.6,15.9,50.02,16.0,0.586,0.0,,646.0,36.96,1441.0,21.0,,0.0
172,"SPICES,BASIL,DRIED",233.0,22.98,4.07,47.75,76.0,2.157,0.0,1.71,2240.0,89.8,2630.0,0.8,10.7,0.0
173,"SPICES,BAY LEAF",313.0,7.61,8.36,74.97,23.0,2.28,0.0,,834.0,43.0,529.0,46.5,,0.0
174,CELERY SEED,392.0,18.07,25.27,41.35,160.0,2.19,0.0,0.67,1767.0,44.9,1400.0,17.1,1.07,0.0
175,"CHERVIL,DRIED",237.0,23.2,3.9,49.1,83.0,0.169,0.0,,1346.0,31.95,4740.0,50.0,,0.0
176,CHILI POWDER,282.0,13.46,14.28,49.7,1640.0,2.462,0.0,7.19,330.0,17.3,1950.0,0.7,38.14,0.0
177,"CINNAMON,GROUND",247.0,3.99,1.24,80.59,10.0,0.345,0.0,2.17,1002.0,8.32,431.0,3.8,2.32,0.0
178,"CORIANDER LEAF,DRIED",279.0,21.93,4.78,52.1,211.0,0.115,0.0,7.27,1246.0,42.46,4466.0,566.7,1.03,0.0
179,CUMIN SEED,375.0,17.81,22.27,44.24,168.0,1.535,0.0,2.25,931.0,66.36,1788.0,7.7,3.33,0.0
180,DILL SEED,305.0,15.98,14.54,55.17,20.0,0.73,0.0,,1516.0,16.33,1186.0,21.0,,0.0
181,"DILL WEED,DRIED",253.0,19.96,4.36,55.82,208.0,0.234,0.0,,1784.0,48.78,3308.0,50.0,,0.0
182,FENNEL SEED,345.0,15.8,14.87,52.29,88.0,0.48,0.0,,1196.0,18.54,1694.0,21.0,,0.0
183,FENUGREEK SEED,323.0,23.0,6.41,58.35,67.0,1.46,0.0,,176.0,33.53,770.0,3.0,,0.0
184,"MARJORAM,DRIED",271.0,12.66,7.04,60.56,77.0,0.529,0.0,4.09,1990.0,82.71,1522.0,51.4,1.69,0.0
185,"MACKEREL,PACIFIC&JACK,MXD SP,CKD,DRY HEAT",201.0,25.73,10.12,0.0,110.0,2.881,60.0,0.0,29.0,1.49,521.0,2.1,1.25,11.4
186,"SPICES,OREGANO,DRIED",265.0,9.0,4.28,68.92,25.0,1.551,0.0,4.09,1597.0,36.8,1260.0,2.3,18.26,0.0
187,PAPRIKA,282.0,14.14,12.89,53.99,68.0,2.14,0.0,10.34,229.0,21.14,2280.0,0.9,29.83,0.0
188,"PARSLEY,DRIED",292.0,26.63,5.48,50.64,452.0,1.378,0.0,7.27,1140.0,22.04,2683.0,125.0,8.96,0.0
189,"PEPPER,RED OR CAYENNE",318.0,12.01,17.27,56.63,30.0,3.26,0.0,10.34,148.0,7.8,2014.0,76.4,29.83,0.0
190,POPPY SEED,525.0,17.99,41.56,28.13,26.0,4.517,0.0,2.99,1438.0,9.76,719.0,1.0,1.77,0.0
191,POULTRY SEASONING,307.0,9.59,7.53,65.59,27.0,3.29,0.0,3.08,996.0,35.3,684.0,12.0,1.32,0.0
192,"SALMON,PINK,CKD,DRY HEAT",153.0,24.58,5.28,0.0,90.0,0.971,55.0,0.0,8.0,0.45,439.0,0.0,0.48,13.0
193,"ROSEMARY,DRIED",331.0,4.88,15.22,64.06,50.0,7.371,0.0,,1280.0,29.25,955.0,61.2,,0.0
194,"SAGE,GROUND",315.0,10.63,12.75,60.73,11.0,7.03,0.0,1.71,1652.0,28.12,1070.0,32.4,7.48,0.0
195,"SAVORY,GROUND",272.0,6.73,5.91,68.73,24.0,3.26,0.0,,2132.0,37.88,1051.0,50.0,,0.0
196,"SPICES,TARRAGON,DRIED",295.0,22.77,7.24,50.22,62.0,1.881,0.0,,1139.0,32.3,3020.0,50.0,,0.0
197,"SPICES,THYME,DRIED",276.0,9.11,7.43,63.94,55.0,2.73,0.0,1.71,1890.0,123.6,814.0,50.0,7.48,0.0
198,"TURMERIC,GROUND",354.0,7.83,9.88,64.93,38.0,3.12,0.0,3.21,183.0,41.42,2525.0,25.9,3.1,0.0
199,"THYME,FRSH",101.0,5.56,1.68,24.45,9.0,0.467,0.0,,405.0,17.45,609.0,160.1,,0.0
200,"SPEARMINT,DRIED",285.0,19.93,6.03,52.04,344.0,1.577,0.0,,1488.0,87.47,1924.0,0.0,,0.0
201,GERBER GRADUATES FRUIT STRIPS REAL FRUIT BARS,330.0,0.82,2.24,76.61,14.0,0.361,0.0,68.65,18.0,1.05,312.0,179.9,0.96,0.0
202,"TROUT,RAINBOW,FARMED,RAW",141.0,19.94,6.18,0.0,51.0,1.383,59.0,0.0,25.0,0.31,377.0,2.9,2.34,15.9
203,"TROUT,RAINBOW,FARMED,CKD,DRY HEAT",168.0,23.8,7.38,0.0,61.0,1.651,70.0,0.0,30.0,0.36,450.0,2.9,2.79,19.0
204,"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PDR,NOT RECON",483.0,16.5,22.0,54.8,260.0,19.186,4.0,54.0,440.0,8.8,590.0,38.0,9.8,9.3
205,"In for, M JOHN, ENF, ENFAC LIP, with ir, po, wi ARA and DH",514.0,12.5,27.0,56.0,173.0,11.37,16.0,51.0,590.0,8.9,565.0,79.0,9.0,9.8
206,"SALMON,COHO,WILD,CKD,DRY HEAT",139.0,23.45,4.3,0.0,58.0,1.054,55.0,0.0,45.0,0.61,434.0,1.4,0.92,11.3
207,"SALMON,SOCKEYE,CND,TOTAL CAN CONTENTS",153.0,20.63,7.17,0.0,433.0,1.46,67.0,0.0,198.0,0.57,329.0,0.0,1.88,19.0
208,"FISH,SALMON,PINK,CND,DRND SOL",138.0,23.1,5.02,0.0,381.0,0.895,83.0,0.0,283.0,0.77,333.0,0.0,1.28,14.5
209,"SALMON,SOCKEYE,CND,DRND SOL,WO/ SKN & BONES",158.0,26.33,5.87,0.0,386.0,1.211,66.0,0.0,37.0,0.48,312.0,0.0,2.09,21.5
210,"FISH,SALMON,PINK,CND,DRND SOL,WO/ SKN & BONES",136.0,24.62,4.21,0.0,378.0,0.749,83.0,0.0,60.0,0.57,326.0,0.0,1.28,14.1
211,"FISH OIL,COD LIVER",902.0,0.0,100.0,0.0,0.0,22.608,570.0,,0.0,0.0,0.0,0.0,,250.0
212,"FISH OIL,SARDINE",902.0,0.0,100.0,0.0,0.0,29.892,710.0,,0.0,0.0,0.0,0.0,,8.3
213,"PEANUT FLOUR,DEFATTED",327.0,52.2,0.55,34.7,180.0,0.063,0.0,8.22,140.0,2.1,1290.0,0.0,0.05,0.0
214,MEAT EXTENDER,313.0,38.11,2.97,38.32,10.0,0.424,0.0,,204.0,11.99,1902.0,0.0,,0.0
215,"SOYBEANS,MATURE SEEDS,DRY RSTD",451.0,39.58,21.62,32.72,2.0,3.127,0.0,,140.0,3.95,1364.0,4.6,,0.0
216,"SOY FLOUR,FULL-FAT,RAW",436.0,34.54,20.65,35.19,13.0,2.987,0.0,7.5,206.0,6.37,2515.0,0.0,1.95,0.0
217,"SOY FLR,FULL-FAT,RSTD",441.0,34.8,21.86,33.67,12.0,3.162,0.0,7.61,188.0,5.82,2041.0,0.0,1.98,0.0
218,"SOY FLOUR,DEFATTED",330.0,47.01,1.22,38.37,20.0,0.136,0.0,18.88,241.0,9.24,2384.0,0.0,0.12,0.0
219,"SOY FLOUR,LOW-FAT",375.0,45.51,8.9,34.93,9.0,1.29,0.0,10.53,285.0,8.2,2090.0,0.0,0.55,0.0
220,"SOY MEAL,DEFATTED,RAW",339.0,44.95,2.39,40.14,3.0,0.268,0.0,,244.0,13.7,2490.0,0.0,,0.0
221,"SOY PROT CONC,PRODUCED BY ALCOHOL EXTRACTION",331.0,58.13,0.46,30.91,3.0,0.052,0.0,20.0,363.0,10.78,2202.0,0.0,0.0,0.0
222,SOY PROTEIN ISOLATE,338.0,80.69,3.39,7.36,1005.0,0.422,0.0,0.0,178.0,14.5,81.0,0.0,0.0,0.0
223,"PORK,CURED,BACON,CKD,MICROWAVED",505.0,38.62,37.27,1.05,2073.0,12.102,117.0,0.0,11.0,1.28,498.0,0.0,0.31,
224,"PORK,CURED,BACON,CKD,PAN-FRIED",533.0,38.34,40.3,1.5,2428.0,13.291,113.0,0.0,12.0,1.38,591.0,0.0,0.3,1.1
225,"TOFU,DRIED-FROZEN (KOYADOFU)",480.0,47.94,30.34,14.56,6.0,4.388,0.0,,364.0,9.73,20.0,0.7,,0.0
